Date,Acct ID (Team),Symbol,Type,ID,Quantity,Price (US$),Gross Amount ($$),Commission (S$),Fee (S$),Exchange Rate,Net Amount (S$) (Fuel),Strategy (Car),Parameters (Driver),Status,UNDERLYING_TICKER,YF_SYMBOL,DATE_USED,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,PORTFOLIO_EQUITY
2025-02-21,Option IBKR,SPXW 21FEB25 6030 P,Sell,SPXW 250221P06030000,-1.0,$0.80,$80.00,-$1.56,-$0.14,1.0,$78.30,Bull Put Spread,,Closed,SPX,^GSPC,2025-02-21,6114.10009765625,6114.81982421875,6008.56005859375,6013.1298828125,6013.1298828125,7632.619999999999
2025-02-21,Option IBKR,SPXW 21FEB25 6030 P,Buy,SPXW 250221P06030000,1.0,$9.27,-$927.00,-$1.75,-$0.16,1.0,-$928.91,Bull Put Spread,,Closed,SPX,^GSPC,2025-02-21,6114.10009765625,6114.81982421875,6008.56005859375,6013.1298828125,6013.1298828125,6703.709999999999
2025-02-21,Option IBKR,SPXW 21FEB25 6015 P,Buy,SPXW 250221P06015000,1.0,$0.60,-$60.00,-$1.56,-$0.14,1.0,-$61.70,Bull Put Spread,,Closed,SPX,^GSPC,2025-02-21,6114.10009765625,6114.81982421875,6008.56005859375,6013.1298828125,6013.1298828125,6642.01
2025-02-21,Option IBKR,SPXW 21FEB25 6015 P,Sell,SPXW 250221P06015000,-1.0,$4.52,$452.00,-$1.75,-$0.16,1.0,$450.09,Bull Put Spread,,Closed,SPX,^GSPC,2025-02-21,6114.10009765625,6114.81982421875,6008.56005859375,6013.1298828125,6013.1298828125,7092.1
2025-02-28,Option IBKR,SPXW 28FEB25 5995 C,Buy,SPXW 250228C,1.0,$0.20,-$20.00,-$1.56,-$0.14,1.0,-$21.70,Short Call,,Closed,SPX,^GSPC,2025-02-28,5856.740234375,5959.39990234375,5837.66015625,5954.5,5954.5,7070.4
2025-02-28,Option IBKR,SPXW 28FEB25 5980 C,Sell,SPXW 250228C,-1.0,$0.40,$40.00,-$1.56,-$0.14,1.0,$38.30,Short Call,,Closed,SPX,^GSPC,2025-02-28,5856.740234375,5959.39990234375,5837.66015625,5954.5,5954.5,7108.700000000001
2025-03-04,Option IBKR,SPXW 04MAR25 5585 P,Buy,SPXW 250304P,1.0,$1.07,-$107.00,-$1.75,-$0.16,1.0,-$108.91,Short Put,,Closed,SPX,^GSPC,2025-03-04,5811.97998046875,5865.080078125,5732.58984375,5778.14990234375,5778.14990234375,6999.790000000001
2025-03-04,Option IBKR,SPXW 04MAR25 5600 P,Sell,SPXW 250304P,-1.0,$1.37,$137.00,-$1.75,-$0.16,1.0,$135.09,Short Put,,Closed,SPX,^GSPC,2025-03-04,5811.97998046875,5865.080078125,5732.58984375,5778.14990234375,5778.14990234375,7134.880000000001
2025-03-10,Option IBKR,SPXW 10MAR25 5520 P,Sell,SPXW 250310,-1.0,$0.60,$60.00,-$1.56,-$0.14,1.0,$58.30,Iron Condor,,Closed,SPX,^GSPC,2025-03-10,5705.3701171875,5705.3701171875,5564.02001953125,5614.56005859375,5614.56005859375,7193.18
2025-03-10,Option IBKR,SPXW 10MAR25 5505 P,Buy,SPXW 250310,1.0,$0.40,-$40.00,-$1.56,-$0.14,1.0,-$41.70,Iron Condor,,Closed,SPX,^GSPC,2025-03-10,5705.3701171875,5705.3701171875,5564.02001953125,5614.56005859375,5614.56005859375,7151.480000000001
2025-03-10,Option IBKR,SPXW 10MAR25 5815 C,Sell,SPXW 250310,-1.0,$0.62,$62.00,-$1.56,-$0.14,1.0,$60.30,Iron Condor,,Closed,SPX,^GSPC,2025-03-10,5705.3701171875,5705.3701171875,5564.02001953125,5614.56005859375,5614.56005859375,7211.780000000001
2025-03-10,Option IBKR,SPXW 10MAR25 5830 C,Buy,SPXW 250310,1.0,$0.42,-$42.00,-$1.56,-$0.14,1.0,-$43.70,Iron Condor,,Closed,SPX,^GSPC,2025-03-10,5705.3701171875,5705.3701171875,5564.02001953125,5614.56005859375,5614.56005859375,7168.080000000002
2025-04-07,Option IBKR,SPXW 07APR25 5295 C,Sell,SPXW 250407C,-1.0,$1.84,$184.00,-$1.65,-$0.15,1.0,$182.20,Short Call,,Closed,SPX,^GSPC,2025-04-07,4953.7900390625,5246.56982421875,4835.0400390625,5062.25,5062.25,7350.280000000001
2025-04-07,Option IBKR,SPXW 07APR25 5305 C,Buy,SPXW 250407C,1.0,$1.64,-$164.00,-$1.65,-$0.15,1.0,-$165.80,Short Call,,Closed,SPX,^GSPC,2025-04-07,4953.7900390625,5246.56982421875,4835.0400390625,5062.25,5062.25,7184.480000000001
2025-04-24,Stock IBKR,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,10.0,$105.34,"-$1,053.41",-$1.00,-$0.09,1.0,"-$1,054.50",Growth Investing,,Open,PLTR,PLTR,2025-04-24,101.52999877929688,108.0,100.91000366210938,107.77999877929688,107.77999877929688,7184.480000000001
2025-05-16,Option IBKR,PLTR 23MAY25 120 P,Sell,PLTR 250523P00120000,-1.0,$1.35,$135.00,-$1.06,-$0.10,1.0,$133.84,Short Put,,Closed,PLTR,PLTR,2025-05-16,129.22999572753906,130.3300018310547,126.76000213623047,129.52000427246094,129.52000427246094,7318.3200000000015
2025-05-23,Option IBKR,PLTR 23MAY25 120 P,Buy,PLTR 250523P00120000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Put,,Closed,PLTR,PLTR,2025-05-23,120.87999725341797,125.54000091552734,120.68000030517578,123.30999755859375,123.30999755859375,7318.3200000000015
2025-05-23,Option IBKR,SPXW 23MAY25 5855 C,Sell,SPXW 250523C,-1.0,$1.67,$167.00,-$1.65,-$0.15,1.0,$165.20,Bear Call Spread,,Closed,SPX,^GSPC,2025-05-23,5781.89013671875,5829.509765625,5767.41015625,5802.81982421875,5802.81982421875,7483.52
2025-05-23,Option IBKR,SPXW 23MAY25 5860 C,Buy,SPXW 250523C,1.0,$1.27,-$127.00,-$1.65,-$0.15,1.0,-$128.80,Bear Call Spread,,Closed,SPX,^GSPC,2025-05-23,5781.89013671875,5829.509765625,5767.41015625,5802.81982421875,5802.81982421875,7354.720000000001
2025-05-27,Option IBKR,PLTR 30MAY25 137 C,Sell,PLTR 250530C00137000,-1.0,$0.50,$50.00,-$1.06,-$0.10,1.0,$48.84,Short Call,,Closed,PLTR,PLTR,2025-05-27,126.81999969482422,127.87999725341797,120.87999725341797,123.38999938964844,123.38999938964844,7403.560000000001
2025-05-27,Option IBKR,SPXW 27MAY25 5930 C,Sell,SPXW 250527C,-1.0,$1.43,$143.00,-$1.65,-$0.15,1.0,$141.20,Bear Call Spread,,Closed,SPX,^GSPC,2025-05-27,5854.06982421875,5924.330078125,5854.06982421875,5921.5400390625,5921.5400390625,7544.76
2025-05-27,Option IBKR,SPXW 27MAY25 5935 C,Buy,SPXW 250527C,1.0,$1.03,-$103.00,-$1.65,-$0.15,1.0,-$104.80,Bear Call Spread,,Closed,SPX,^GSPC,2025-05-27,5854.06982421875,5924.330078125,5854.06982421875,5921.5400390625,5921.5400390625,7439.960000000001
2025-05-29,Stock IBKR,PROSHARES ULTRAPRO QQQ,Buy,TQQQ,5.0,$71.70,-$358.50,-$1.00,-$0.09,1.0,-$359.59,Value Investing,,Open,TQQQ,TQQQ,2025-05-29,73.0,73.05999755859375,69.33000183105469,70.37000274658203,70.10655975341797,7439.960000000001
2025-05-29,Option IBKR,SPXW 29MAY25 5845 P,Sell,SPXW 250529P,-1.0,$2.99,$299.00,-$1.65,-$0.15,1.0,$297.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-05-29,5939.9599609375,5943.1298828125,5873.7998046875,5912.169921875,5912.169921875,7737.16
2025-05-29,Option IBKR,SPXW 29MAY25 5840 P,Buy,SPXW 250529P,1.0,$2.49,-$249.00,-$1.65,-$0.15,1.0,-$250.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-05-29,5939.9599609375,5943.1298828125,5873.7998046875,5912.169921875,5912.169921875,7486.360000000001
2025-05-30,Option IBKR,PLTR 30MAY25 137 C,Buy,PLTR 250530C00137000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Call,,Closed,PLTR,PLTR,2025-05-30,123.52999877929688,131.94000244140625,122.75,131.77999877929688,131.77999877929688,7486.360000000001
2025-05-30,Option IBKR,SPXW 30MAY25 5815 P,Sell,SPXW 250530P,-1.0,$3.02,$302.00,-$1.65,-$0.15,1.0,$300.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-05-30,5903.669921875,5922.14013671875,5843.66015625,5911.68994140625,5911.68994140625,7786.5599999999995
2025-05-30,Option IBKR,SPXW 30MAY25 5810 P,Buy,SPXW 250530P,1.0,$2.52,-$252.00,-$1.65,-$0.15,1.0,-$253.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-05-30,5903.669921875,5922.14013671875,5843.66015625,5911.68994140625,5911.68994140625,7532.76
2025-06-03,Option IBKR,PLTR 06JUN25 123 P,Sell,PLTR 250606P00123000,-1.0,$0.64,$64.00,-$1.06,-$0.10,1.0,$62.84,Short Put,,Closed,PLTR,PLTR,2025-06-03,133.07000732421875,135.27999877929688,130.10000610351562,133.1699981689453,133.1699981689453,7595.6
2025-06-06,Option IBKR,PLTR 06JUN25 123 P,Buy,PLTR 250606P00123000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Put,,Closed,PLTR,PLTR,2025-06-06,123.7300033569336,128.1300048828125,121.91999816894531,127.72000122070312,127.72000122070312,7595.6
2025-06-09,Option IBKR,PLTR 13JUN25 141 C,Sell,PLTR 250613C00141000,-1.0,$0.33,$33.00,-$0.78,-$0.07,1.0,$32.15,Short Call,,Closed,PLTR,PLTR,2025-06-09,127.07499694824219,132.22999572753906,124.80000305175781,132.05999755859375,132.05999755859375,7627.75
2025-06-11,Option IBKR,SPXW 11JUN25 5975 P,Buy,SPXW 250611P,1.0,$2.68,-$268.00,-$1.65,-$0.15,1.0,-$269.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-11,6049.3798828125,6059.39990234375,6002.31982421875,6022.240234375,6022.240234375,7357.95
2025-06-11,Option IBKR,SPXW 11JUN25 5980 P,Sell,SPXW 250611P,-1.0,$3.28,$328.00,-$1.65,-$0.15,1.0,$326.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-11,6049.3798828125,6059.39990234375,6002.31982421875,6022.240234375,6022.240234375,7684.15
2025-06-13,Option IBKR,PLTR 13JUN25 141 C,Buy,PLTR 250613C00141000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Call,,Closed,PLTR,PLTR,2025-06-13,133.81500244140625,139.99000549316406,133.35000610351562,137.39999389648438,137.39999389648438,7684.15
2025-06-13,Option IBKR,SPXW 13JUN25 5920 P,Buy,SPXW 250613P,1.0,$1.78,-$178.00,-$1.65,-$0.15,1.0,-$179.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-13,6000.56005859375,6026.16015625,5963.2099609375,5976.97021484375,5976.97021484375,7504.349999999999
2025-06-13,Option IBKR,SPXW 13JUN25 5925 P,Sell,SPXW 250613P,-1.0,$2.23,$223.00,-$1.65,-$0.15,1.0,$221.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-13,6000.56005859375,6026.16015625,5963.2099609375,5976.97021484375,5976.97021484375,7725.549999999999
2025-06-16,Option IBKR,PLTR 20JUN25 133 P,Sell,PLTR 250620,-1.0,$0.83,$83.00,-$0.81,-$0.07,1.0,$82.12,Short Strangle,,Closed,PLTR,PLTR,2025-06-16,140.02999877929688,144.86000061035156,139.81199645996094,141.41000366210938,141.41000366210938,7807.669999999999
2025-06-16,Option IBKR,PLTR 20JUN25 155 C,Sell,PLTR 250620,-1.0,$0.68,$68.00,-$1.06,-$0.10,1.0,$66.84,Short Strangle,,Closed,PLTR,PLTR,2025-06-16,140.02999877929688,144.86000061035156,139.81199645996094,141.41000366210938,141.41000366210938,7874.509999999999
2025-06-16,Option IBKR,SPXW 16JUN25 6075 C,Sell,SPXW 250616C,-1.0,$1.37,$137.00,-$1.75,-$0.16,1.0,$135.09,Bear Call Spread,,Closed,SPX,^GSPC,2025-06-16,6004.0,6050.830078125,6004.0,6033.10986328125,6033.10986328125,8009.599999999999
2025-06-16,Option IBKR,SPXW 16JUN25 6080 C,Buy,SPXW 250616C,1.0,$0.97,-$97.00,-$1.66,-$0.15,1.0,-$98.81,Bear Call Spread,,Closed,SPX,^GSPC,2025-06-16,6004.0,6050.830078125,6004.0,6033.10986328125,6033.10986328125,7910.789999999999
2025-06-17,Option IBKR,SPXW 18JUN25 5935 P,Sell,SPXW 250618P,-1.0,$4.65,$465.00,-$1.65,-$0.15,1.0,$463.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-17,6012.14990234375,6023.25,5974.7998046875,5982.72021484375,5982.72021484375,8373.99
2025-06-17,Option IBKR,SPXW 18JUN25 5930 P,Buy,SPXW 250618P,1.0,$4.25,-$425.00,-$1.65,-$0.15,1.0,-$426.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-17,6012.14990234375,6023.25,5974.7998046875,5982.72021484375,5982.72021484375,7947.189999999999
2025-06-18,Option IBKR,SOXL 15JAN27 25 C,Buy,SOXL 270115C,1.0,$8.13,-$813.00,-$1.06,-$0.10,1.0,-$814.16,Bull Call Spread,,Open,SOXL,SOXL,2025-06-18,21.719999313354492,22.3799991607666,21.229999542236328,21.610000610351562,21.5356502532959,7947.189999999999
2025-06-18,Option IBKR,SOXL 15JAN27 40 C,Sell,SOXL 270115C,-1.0,$4.86,$486.00,-$1.06,-$0.10,1.0,$484.84,Bull Call Spread,,Open,SOXL,SOXL,2025-06-18,21.719999313354492,22.3799991607666,21.229999542236328,21.610000610351562,21.5356502532959,7947.189999999999
2025-06-20,Option IBKR,PLTR 20JUN25 133 P,Buy,PLTR 250620,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Strangle,,Closed,PLTR,PLTR,2025-06-20,140.69000244140625,142.24000549316406,136.74200439453125,137.3000030517578,137.3000030517578,7947.189999999999
2025-06-20,Option IBKR,PLTR 20JUN25 155 C,Buy,PLTR 250620,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Strangle,,Closed,PLTR,PLTR,2025-06-20,140.69000244140625,142.24000549316406,136.74200439453125,137.3000030517578,137.3000030517578,7947.189999999999
2025-06-20,Option IBKR,SPXW 20JUN25 5935 P,Sell,SPXW 250620P,-1.0,$1.97,$197.00,-$1.65,-$0.15,1.0,$195.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-20,5999.669921875,6018.2001953125,5952.56005859375,5967.83984375,5967.83984375,8142.389999999999
2025-06-20,Option IBKR,SPXW 20JUN25 5930 P,Buy,SPXW 250620P,1.0,$1.52,-$152.00,-$1.65,-$0.15,1.0,-$153.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-20,5999.669921875,6018.2001953125,5952.56005859375,5967.83984375,5967.83984375,7988.589999999999
2025-06-23,Option IBKR,PLTR 27JUN25 152.5 C,Buy,PLTR 250627C,1.0,$0.33,-$33.00,-$1.55,-$0.14,1.0,-$34.69,Bear Call Spread,,Closed,PLTR,PLTR,2025-06-23,138.89999389648438,142.14999389648438,135.9600067138672,139.9199981689453,139.9199981689453,7953.9
2025-06-23,Option IBKR,PLTR 27JUN25 150 C,Sell,PLTR 250627C,-1.0,$0.53,$53.00,-$1.55,-$0.14,1.0,$51.31,Bear Call Spread,,Closed,PLTR,PLTR,2025-06-23,138.89999389648438,142.14999389648438,135.9600067138672,139.9199981689453,139.9199981689453,8005.209999999999
2025-06-23,Option IBKR,SPXW 23JUN25 5890 P,Sell,SPXW 250623P,-1.0,$2.49,$249.00,-$1.65,-$0.15,1.0,$247.20,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-23,5969.669921875,6028.77001953125,5943.22998046875,6025.169921875,6025.169921875,8252.41
2025-06-23,Option IBKR,SPXW 23JUN25 5885 P,Buy,SPXW 250623P,1.0,$2.09,-$209.00,-$1.65,-$0.15,1.0,-$210.80,Bull Put Spread,,Closed,SPX,^GSPC,2025-06-23,5969.669921875,6028.77001953125,5943.22998046875,6025.169921875,6025.169921875,8041.609999999999
2025-06-30,Option IBKR,PLTR 03JUL25 147 C,Sell,PLTR 250703C00147000,-1.0,$0.45,$45.00,-$0.63,-$0.06,1.0,$44.31,Short Call,,Closed,PLTR,PLTR,2025-06-30,137.7899932861328,138.875,134.8000030517578,136.32000732421875,136.32000732421875,8085.919999999999
2025-07-03,Option IBKR,PLTR 03JUL25 147 C,Buy,PLTR 250703C00147000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Call,,Closed,PLTR,PLTR,2025-07-03,134.36000061035156,135.6199951171875,132.50999450683594,134.36000061035156,134.36000061035156,8085.919999999999
2025-07-07,Option IBKR,PLTR 11JUL25 123 P,Sell,PLTR 250711,-1.0,$0.32,$32.00,-$1.26,-$0.11,1.0,$30.63,Short Strangle,,Closed,PLTR,PLTR,2025-07-07,134.3800048828125,139.2899932861328,132.32000732421875,139.1199951171875,139.1199951171875,8116.549999999999
2025-07-07,Option IBKR,PLTR 11JUL25 146 C,Sell,PLTR 250711,-1.0,$0.42,$42.00,-$1.26,-$0.11,1.0,$40.63,Short Strangle,,Closed,PLTR,PLTR,2025-07-07,134.3800048828125,139.2899932861328,132.32000732421875,139.1199951171875,139.1199951171875,8157.179999999999
2025-07-07,Option IBKR,SPXW 07JUL25 6190 P,Buy,SPXW 250707P,1.0,$1.67,-$167.00,-$1.65,-$0.15,1.0,-$168.79,Bull Put Spread,,Closed,SPX,^GSPC,2025-07-07,6259.0400390625,6262.06982421875,6201.0,6229.97998046875,6229.97998046875,7988.389999999999
2025-07-07,Option IBKR,SPXW 07JUL25 6195 P,Sell,SPXW 250707P,-1.0,$2.07,$207.00,-$1.65,-$0.15,1.0,$205.21,Bull Put Spread,,Closed,SPX,^GSPC,2025-07-07,6259.0400390625,6262.06982421875,6201.0,6229.97998046875,6229.97998046875,8193.599999999999
2025-07-11,Option IBKR,PLTR 11JUL25 123 P,Buy,PLTR 250711,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Strangle,,Closed,PLTR,PLTR,2025-07-11,142.11000061035156,144.5800018310547,141.47000122070312,142.10000610351562,142.10000610351562,8193.599999999999
2025-07-11,Option IBKR,PLTR 11JUL25 146 C,Buy,PLTR 250711,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Strangle,,Closed,PLTR,PLTR,2025-07-11,142.11000061035156,144.5800018310547,141.47000122070312,142.10000610351562,142.10000610351562,8193.599999999999
2025-07-16,Option IBKR,SPXW 16JUL25 6175 P,Buy,SPXW 250716P,1.0,$1.82,-$182.00,-$1.65,-$0.15,1.0,-$183.79,Bull Put Spread,,Closed,SPX,^GSPC,2025-07-16,6254.5,6268.1201171875,6201.58984375,6263.7001953125,6263.7001953125,8009.8099999999995
2025-07-16,Option IBKR,SPXW 16JUL25 6180 P,Sell,SPXW 250716P,-1.0,$2.17,$217.00,-$1.65,-$0.15,1.0,$215.21,Bull Put Spread,,Closed,SPX,^GSPC,2025-07-16,6254.5,6268.1201171875,6201.58984375,6263.7001953125,6263.7001953125,8225.02
2025-07-25,Option IBKR,SOXL 15JAN27 25 C,Buy,SOXL 270115C,1.0,$9.76,-$976.00,-$1.06,-$0.10,1.0,-$977.15,Bull Call Spread,,Open,SOXL,SOXL,2025-07-25,25.170000076293945,25.6200008392334,24.829999923706055,25.600000381469727,25.592565536499023,8225.02
2025-07-25,Option IBKR,SOXL 15JAN27 40 C,Sell,SOXL 270115C,-1.0,$5.73,$573.00,-$1.06,-$0.10,1.0,$571.85,Bull Call Spread,,Open,SOXL,SOXL,2025-07-25,25.170000076293945,25.6200008392334,24.829999923706055,25.600000381469727,25.592565536499023,8225.02
2025-08-11,Option IBKR,PLTR 15AUG25 160 P,Sell,PLTR 250815P00160000,-1.0,$0.20,$20.00,-$1.05,-$0.09,1.0,$18.85,Short Put,,Closed,PLTR,PLTR,2025-08-11,186.47000122070312,187.17999267578125,181.9199981689453,182.67999267578125,182.67999267578125,8243.869999999999
2025-08-11,Option IBKR,V 17OCT25 330 P,Buy,V 251017P,1.0,$8.80,-$880.00,-$0.70,-$0.06,1.0,-$880.76,Bull Put Spread,,Open,V,V,2025-08-11,336.7300109863281,337.8599853515625,334.510009765625,335.8999938964844,335.30999755859375,8243.869999999999
2025-08-11,Option IBKR,V 17OCT25 335 P,Sell,V 251017P,-1.0,$10.80,"$1,080.00",-$0.70,-$0.06,1.0,"$1,079.23",Bull Put Spread,,Open,V,V,2025-08-11,336.7300109863281,337.8599853515625,334.510009765625,335.8999938964844,335.30999755859375,8243.869999999999
2025-08-15,Option IBKR,PLTR 15AUG25 160 P,Buy,PLTR 250815P00160000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Put,,Closed,PLTR,PLTR,2025-08-15,179.72500610351562,180.0,173.3800048828125,177.1699981689453,177.1699981689453,8243.869999999999
2025-08-20,Option IBKR,SOXL 29AUG25 24 P,Sell,SOXL 250829P00024000,-1.0,$1.03,$103.00,-$1.05,-$0.09,1.0,$101.85,Short Put,,Closed,SOXL,SOXL,2025-08-20,26.110000610351562,26.110000610351562,23.65999984741211,25.799999237060547,25.792505264282227,8345.72
2025-08-22,Option IBKR,PLTR 29AUG25 160 P,Sell,PLTR 250829P00160000,-1.0,$3.81,$381.00,-$1.05,-$0.09,1.0,$379.85,Short Put,,Closed,PLTR,PLTR,2025-08-22,155.31500244140625,163.1999969482422,151.77000427246094,158.74000549316406,158.74000549316406,8725.57
2025-08-28,Option IBKR,PLTR 29AUG25 160 P,Buy,PLTR 250829P00160000,1.0,$4.12,-$412.00,-$1.05,-$0.09,1.0,-$413.15,Short Put,,Closed,PLTR,PLTR,2025-08-28,157.6300048828125,158.22999572753906,152.5500030517578,158.1199951171875,158.1199951171875,8312.419999999998
2025-08-28,Option IBKR,PLTR 05SEP25 155 P,Sell,PLTR 250905P00155000,-1.0,$3.55,$355.00,-$1.06,-$0.10,1.0,$353.85,Short Put,,Closed,PLTR,PLTR,2025-08-28,157.6300048828125,158.22999572753906,152.5500030517578,158.1199951171875,158.1199951171875,8666.269999999999
2025-08-29,Option IBKR,SOXL 29AUG25 24 P,Buy,SOXL 250829P00024000,1.0,$0.00,$0.00,$0.00,$0.00,1.0,$0.00,Short Put,,Closed,SOXL,SOXL,2025-08-29,27.31999969482422,27.350000381469727,25.670000076293945,26.040000915527344,26.032438278198242,8666.269999999999
